"datetime";"ipsrc";"ipdst";"dstport";"proto";"action";"policyid"
"2023-03-07 05:28:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:29:38";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:29:39";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:29:39";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:29:39";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:29:39";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:29:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:30:24";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:30:24";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:30:24";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:30:24";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:30:24";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:30:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:31:09";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:31:09";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:31:09";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:31:09";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:31:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:31:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:31:54";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:31:54";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:31:54";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:31:54";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:31:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:31:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:32:39";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:32:39";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:32:39";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:32:39";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:32:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:32:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:33:24";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:33:24";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:33:24";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:33:24";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:33:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:33:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:34:09";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:34:09";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:34:09";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:34:09";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:34:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:34:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:34:54";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:34:54";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:34:54";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:34:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:34:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:34:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:35:39";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:35:39";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:35:39";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:35:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:35:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:35:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:36:24";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:36:24";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:36:24";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:36:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:36:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:36:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:37:09";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:37:09";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:37:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:37:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:37:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:37:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:37:54";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:37:54";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:37:54";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:37:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:37:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:37:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:38:39";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:38:39";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:38:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:38:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:38:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:38:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:39:24";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:39:24";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:39:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:39:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:39:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:39:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:40:09";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:40:09";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:40:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:40:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:40:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:40:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:40:54";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:40:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:40:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:40:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:40:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:40:56";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:41:39";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:41:39";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:41:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:41:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:41:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:41:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:42:24";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:42:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:42:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:42:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:42:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:42:26";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:43:10";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:43:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:43:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:43:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:43:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:43:11";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:43:55";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:43:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:43:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:43:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:43:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:43:56";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:44:15";"8.8.8.8";"10.188.10.10";"59305";"UDP";"Permit";"6"
"2023-03-07 05:44:15";"151.101.2.132";"10.188.10.10";"37518";"TCP";"Deny";"34"
"2023-03-07 05:44:15";"151.101.2.132";"10.188.10.10";"37518";"TCP";"Deny";"34"
"2023-03-07 05:44:15";"151.101.2.132";"10.188.10.10";"37518";"TCP";"Deny";"34"
"2023-03-07 05:44:15";"151.101.2.132";"10.188.10.10";"37518";"TCP";"Deny";"34"
"2023-03-07 05:44:15";"8.8.8.8";"10.188.10.10";"35899";"UDP";"Permit";"6"
"2023-03-07 05:44:15";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:44:40";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:44:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
